PLAYER,TEAM,AGE,SEASON,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,IMP,rankings,predictions
Montrezl Harrell,LAC,26,2019-20,63,44,19,27.8,18.6,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,33.2,12.0,0.0,4.0,82.0,79.0
Moritz Wagner,WAS,23,2019-20,45,15,30,18.6,8.7,3.2,5.9,54.5,0.6,1.8,31.3,1.7,2.1,82.1,1.2,3.6,4.9,1.2,1.5,0.6,0.4,3.4,18.1,2.0,0.0,-2.0,76.0,72.0
Moses Brown,POR,20,2019-20,9,4,5,3.6,1.2,0.4,1.1,40.0,0.0,0.0,0.0,0.3,0.9,37.5,0.3,1.2,1.6,0.1,0.3,0.1,0.1,0.8,3.6,0.0,0.0,-3.7,67.0,76.0
Mychal Mulder,GSW,26,2019-20,7,3,4,29.1,11.0,3.7,9.6,38.8,2.3,7.4,30.8,1.3,1.7,75.0,0.4,2.9,3.3,1.1,0.7,0.3,0.1,2.9,17.2,0.0,0.0,3.3,68.0,70.0
Myles Turner,IND,24,2019-20,62,37,25,29.4,12.1,4.3,9.5,45.7,1.4,4.0,34.4,2.0,2.7,75.1,1.4,5.2,6.6,1.2,1.4,0.7,2.1,2.7,28.9,9.0,0.0,-0.1,79.0,71.0
Nassir Little,POR,20,2019-20,48,22,26,11.9,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,8.3,1.0,0.0,-1.1,72.0,80.0
Naz Mitrou-Long,IND,26,2019-20,5,3,2,9.4,2.8,1.2,3.4,35.3,0.4,2.4,16.7,0.0,0.0,0.0,0.0,1.4,1.4,1.6,0.6,0.2,0.2,0.4,7.5,0.0,0.0,4.0,68.0,73.0
Naz Reid,MIN,20,2019-20,30,8,22,16.5,9.0,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,0.7,2.8,19.0,2.0,0.0,0.2,72.0,73.0
Nemanja Bjelica,SAC,32,2019-20,72,31,41,27.9,11.5,4.4,9.1,48.1,1.9,4.4,41.9,1.0,1.2,82.1,1.5,4.8,6.4,2.8,1.4,0.9,0.6,3.0,26.3,10.0,0.0,0.1,78.0,79.0
Nerlens Noel,OKC,26,2019-20,61,38,23,18.5,7.4,3.0,4.4,68.4,0.0,0.0,33.3,1.3,1.7,75.5,1.5,3.4,4.9,0.9,1.1,1.0,1.5,2.7,21.0,3.0,0.0,0.4,76.0,72.0
Nickeil Alexander-Walker,NOP,21,2019-20,47,19,28,12.6,5.7,2.1,5.7,36.8,1.0,2.8,34.6,0.5,0.8,67.6,0.2,1.6,1.8,1.9,1.1,0.4,0.2,1.2,11.1,0.0,0.0,-1.2,71.0,85.0
Nicolas Batum,CHA,31,2019-20,22,6,16,23.0,3.6,1.3,3.7,34.6,0.6,2.2,28.6,0.4,0.5,90.0,1.1,3.4,4.5,3.0,1.0,0.8,0.4,1.9,16.0,0.0,0.0,-2.2,73.0,77.0
Nicolas Claxton,BKN,21,2019-20,15,5,10,12.5,4.4,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.6,0.1,0.5,0.9,10.7,0.0,0.0,-4.5,73.0,74.0
Nicolo Melli,NOP,29,2019-20,60,26,34,17.4,6.6,2.3,5.4,42.1,1.2,3.4,33.5,0.9,1.2,74.0,0.6,2.4,3.0,1.4,0.8,0.6,0.4,2.1,14.3,0.0,0.0,-1.5,75.0,74.0
Nikola Jokic,DEN,25,2019-20,73,46,27,32.0,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,2.3,7.5,9.7,7.0,3.1,1.2,0.6,3.0,44.4,43.0,13.0,3.5,90.0,79.0
Nikola Vucevic,ORL,29,2019-20,62,28,34,32.2,19.6,8.0,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,2.3,8.6,10.9,3.6,1.4,0.9,0.8,2.2,41.5,41.0,0.0,0.8,86.0,77.0
Noah Vonleh,DEN,24,2019-20,36,13,23,10.5,3.7,1.4,2.6,56.5,0.1,0.4,20.0,0.7,0.9,78.1,1.0,2.4,3.4,0.8,0.6,0.3,0.2,1.1,9.8,0.0,0.0,-1.5,74.0,73.0
Norman Powell,TOR,27,2019-20,52,40,12,28.4,16.0,5.7,11.5,49.5,2.1,5.3,39.9,2.5,2.9,84.3,0.5,3.2,3.7,1.8,1.5,1.2,0.4,2.1,26.2,0.0,0.0,2.8,77.0,71.0
Norvel Pelle,PHI,27,2019-20,24,12,12,9.7,2.4,1.0,2.0,52.1,0.0,0.0,0.0,0.3,0.6,50.0,0.8,2.2,3.0,0.3,0.8,0.1,1.3,2.3,10.0,0.0,0.0,-3.1,71.0,70.0
OG Anunoby,TOR,22,2019-20,69,50,19,29.9,10.6,4.1,8.2,50.5,1.3,3.3,39.0,1.0,1.5,70.6,1.2,4.1,5.3,1.6,1.1,1.4,0.7,2.4,24.3,5.0,0.0,4.0,79.0,79.0
Omari Spellman,MIN,22,2019-20,49,11,38,18.1,7.6,2.6,6.0,43.1,0.9,2.2,39.1,1.5,1.9,79.3,1.6,2.9,4.5,1.0,1.1,0.7,0.5,1.3,16.7,1.0,0.0,-2.9,74.0,73.0
Oshae Brissett,TOR,22,2019-20,19,15,4,7.1,1.9,0.7,1.9,36.1,0.2,0.8,20.0,0.4,0.5,80.0,0.5,0.9,1.4,0.4,0.4,0.2,0.1,0.9,4.6,0.0,0.0,1.8,67.0,70.0
Otto Porter Jr.,CHI,27,2019-20,14,5,9,23.6,11.9,4.4,10.0,44.3,1.7,4.4,38.7,1.4,1.9,70.4,0.9,2.5,3.4,1.8,0.8,1.1,0.4,2.2,22.4,0.0,0.0,1.9,78.0,70.0
PJ Dozier,DEN,23,2019-20,29,18,11,14.2,5.8,2.2,5.4,41.4,0.6,1.7,34.7,0.7,1.0,72.4,0.3,1.6,1.9,2.2,0.9,0.5,0.2,1.6,12.5,0.0,0.0,-2.3,72.0,70.0
Pascal Siakam,TOR,26,2019-20,60,46,14,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4.0,5.1,79.2,1.1,6.3,7.3,3.5,2.5,1.0,0.9,2.8,40.0,12.0,0.0,6.6,88.0,75.0
Pat Connaughton,MIL,27,2019-20,67,53,14,18.6,5.4,2.0,4.5,45.5,0.8,2.5,33.1,0.5,0.6,77.5,0.9,3.3,4.2,1.6,0.8,0.4,0.5,1.0,14.6,0.0,0.0,1.2,73.0,85.0
Patrick Beverley,LAC,31,2019-20,51,38,13,26.3,7.9,2.9,6.7,43.1,1.6,4.0,38.8,0.6,0.9,66.0,1.1,4.1,5.2,3.6,1.3,1.1,0.5,3.1,22.9,4.0,0.0,5.6,78.0,68.0
Patrick McCaw,TOR,24,2019-20,37,27,10,24.5,4.6,1.8,4.4,41.4,0.6,1.9,32.4,0.4,0.5,72.2,0.5,1.8,2.3,2.1,0.8,1.1,0.1,1.6,13.3,1.0,0.0,0.1,73.0,76.0
Patrick Patterson,LAC,31,2019-20,59,39,20,13.2,4.9,1.6,3.9,40.8,1.1,2.9,39.0,0.6,0.7,81.4,0.6,2.0,2.6,0.7,0.4,0.1,0.1,0.9,9.2,1.0,0.0,0.8,74.0,74.0
Paul George,LAC,30,2019-20,48,34,14,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4.0,4.5,87.6,0.5,5.2,5.7,3.9,2.6,1.4,0.4,2.4,37.0,5.0,0.0,5.4,90.0,73.0
Paul Millsap,DEN,35,2019-20,51,30,21,24.3,11.6,4.1,8.6,48.2,1.1,2.4,43.5,2.3,2.8,81.6,1.9,3.8,5.7,1.6,1.4,0.9,0.6,2.9,23.9,5.0,0.0,4.4,79.0,70.0
Paul Watson,TOR,25,2019-20,10,7,3,8.7,3.1,1.0,2.6,38.5,0.4,1.2,33.3,0.7,0.9,77.8,0.2,1.5,1.7,0.8,0.3,0.4,0.1,0.5,7.5,0.0,0.0,3.3,67.0,76.0
Quinn Cook,LAL,27,2019-20,44,31,13,11.5,5.1,2.1,4.9,42.5,0.7,1.9,36.5,0.3,0.3,78.6,0.3,0.9,1.2,1.1,0.8,0.3,0.0,0.6,8.4,0.0,0.0,1.3,73.0,87.0
Quinndary Weatherspoon,SAS,23,2019-20,11,5,6,7.1,1.1,0.5,1.5,29.4,0.1,0.5,20.0,0.1,0.2,50.0,0.1,0.5,0.6,1.0,0.5,0.3,0.1,0.7,4.0,0.0,0.0,-2.1,68.0,69.0
RJ Barrett,NYK,20,2019-20,56,17,39,30.4,14.3,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,2.2,1.0,0.3,2.2,25.8,2.0,0.0,-5.8,75.0,70.0
Rajon Rondo,LAL,34,2019-20,48,37,11,20.5,7.1,2.9,6.8,41.8,0.9,2.6,32.8,0.6,0.9,65.9,0.5,2.5,3.0,5.0,1.9,0.8,0.0,1.2,18.9,2.0,0.0,0.9,76.0,86.0
Raul Neto,PHI,28,2019-20,54,29,25,12.4,5.1,1.9,4.1,45.5,0.6,1.6,38.6,0.7,0.9,83.0,0.2,0.9,1.1,1.8,0.9,0.4,0.1,0.9,9.9,0.0,0.0,0.7,73.0,69.0
